DMS SAMPLE LOGIN CREDENTIALS
Generated: 2026-04-30T07:25:43.617Z
Login URL: /dms/login

Format: role | centerCode | city | centerName | staffName | email | password

branch_manager | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Manager | center01.manager@dms-sample.lk | Center01@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 01 | center01.rider01@dms-sample.lk | Rider0101@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 02 | center01.rider02@dms-sample.lk | Rider0102@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 03 | center01.rider03@dms-sample.lk | Rider0103@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 04 | center01.rider04@dms-sample.lk | Rider0104@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 05 | center01.rider05@dms-sample.lk | Rider0105@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 06 | center01.rider06@dms-sample.lk | Rider0106@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 07 | center01.rider07@dms-sample.lk | Rider0107@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 08 | center01.rider08@dms-sample.lk | Rider0108@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 09 | center01.rider09@dms-sample.lk | Rider0109@123
delivery_rider | SLCEN-01 | Colombo | Sample Lanka Delivery Center 01 - Colombo | Center01 Rider 10 | center01.rider10@dms-sample.lk | Rider0110@123
branch_manager | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Manager | center02.manager@dms-sample.lk | Center02@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 01 | center02.rider01@dms-sample.lk | Rider0201@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 02 | center02.rider02@dms-sample.lk | Rider0202@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 03 | center02.rider03@dms-sample.lk | Rider0203@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 04 | center02.rider04@dms-sample.lk | Rider0204@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 05 | center02.rider05@dms-sample.lk | Rider0205@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 06 | center02.rider06@dms-sample.lk | Rider0206@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 07 | center02.rider07@dms-sample.lk | Rider0207@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 08 | center02.rider08@dms-sample.lk | Rider0208@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 09 | center02.rider09@dms-sample.lk | Rider0209@123
delivery_rider | SLCEN-02 | Kandy | Sample Lanka Delivery Center 02 - Kandy | Center02 Rider 10 | center02.rider10@dms-sample.lk | Rider0210@123
branch_manager | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Manager | center03.manager@dms-sample.lk | Center03@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 01 | center03.rider01@dms-sample.lk | Rider0301@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 02 | center03.rider02@dms-sample.lk | Rider0302@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 03 | center03.rider03@dms-sample.lk | Rider0303@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 04 | center03.rider04@dms-sample.lk | Rider0304@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 05 | center03.rider05@dms-sample.lk | Rider0305@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 06 | center03.rider06@dms-sample.lk | Rider0306@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 07 | center03.rider07@dms-sample.lk | Rider0307@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 08 | center03.rider08@dms-sample.lk | Rider0308@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 09 | center03.rider09@dms-sample.lk | Rider0309@123
delivery_rider | SLCEN-03 | Galle | Sample Lanka Delivery Center 03 - Galle | Center03 Rider 10 | center03.rider10@dms-sample.lk | Rider0310@123
branch_manager | SLCEN-04 | Jaffna | Sample Lanka Delivery Center 04 - Jaffna | Center04 Manager | center04.manager@dms-sample.lk | Center04@123
delivery_rider | SLCEN-04 | Jaffna | Sample Lanka Delivery Center 04 - Jaffna | Center04 Rider 01 | center04.rider01@dms-sample.lk | Rider0401@123
delivery_rider | SLCEN-04 | Jaffna | Sample Lanka Delivery Center 04 - Jaffna | Center04 Rider 02 | center04.rider02@dms-sample.lk | Rider0402@123
delivery_rider | SLCEN-04 | Jaffna | Sample Lanka Delivery Center 04 - Jaffna | Center04 Rider 03 | center04.rider03@dms-sample.lk | Rider0403@123
delivery_rider | SLCEN-04 | Jaffna | Sample Lanka Delivery Center 04 - Jaffna | Center04 Rider 04 | center04.rider04@dms-sample.lk | Rider0404@123
